%Lat	Lon	Elevation	Run dist 	Dist -20 km	Uplift rate 	Error 
						
%(deg N)	(deg E)	(m)	(km)	(km)	(mm/yr)	(mm/yr)
						
46.20833	-123.96556	7.253	15.32	16.43	3.34	0.4
						
46.20694	-123.76472	10.553	715.42	31.88	2.09	0.37
						
46.20694	-123.96083	5.62	15.15	16.81	3.4	0.4
						
46.20667	-123.95167	3.682	15.74	17.51	3.53	0.42
						
46.20639	-123.95333	3.263	15.56	17.39	3.65	0.42
						
46.20611	-123.955	4.253	15.42	17.26	3.62	0.42
						
46.205	-123.96389	5.546	14.9	16.59	3.4	0.41
						
46.20389	-123.76306	4.973	715.56	32.04	1.99	0.37
						
46.20306	-123.76361	4.979	715.63	32	1.95	0.37
						
46.20278	-123.96194	5.05	14.6	16.76	2.99	0.41
						
46.20056	-123.96028	6.922	14.2	16.91	3.92	0.4
						
46.19917	-123.94361	4.797	12.75	18.2	3.21	0.43
						
46.19472	-123.78833	7.324	713.8	30.18	2.37	0.37
						
46.19111	-123.92528	4.888	11.07	19.68	3.28	0.45
						
46.19056	-123.80972	8.926	710.29	28.58	2.32	0.38
						
46.19028	-123.83056	6.233	709.17	26.98	1.56	0.38
						
46.18972	-123.81889	6.752	709.5	27.88	1.56	0.38
						
46.18972	-123.84667	6.944	706.93	25.74	1.63	0.39
						
46.18972	-123.83389	7.021	708.01	26.72	2.2	0.39
						
46.18944	-123.83306	6.58	708.12	26.79	1.97	0.39
						
46.18917	-123.83194	6.623	708.25	26.88	1.46	0.38
						
46.18861	-123.82694	6.713	708.81	27.27	2.32	0.38
						
46.18833	-123.83083	6.954	708.41	26.97	2.48	0.38
						
46.18778	-123.85556	5.085	706.42	25.08	2.4	0.65
						
46.18722	-123.85556	5.402	706.53	25.08	2.77	0.38
						
46.18611	-123.58694	4.872	734.27	45.75	1.94	0.4
						
46.18556	-123.58611	4.088	734.31	45.82	0.91	0.58
						
46.175	-123.42833	4.79	752.4	58.05	0.17	0.71
						
46.17333	-123.84222	6.09	703.94	26.23	2.19	0.4
						
46.17306	-123.67944	22.923	725.01	38.76	2.29	0.39
						
46.17306	-123.84278	4.407	704.16	26.19	2.45	0.39
						
46.17222	-123.8425	5.293	704.2	26.22	2.66	0.39
						
