%Longitude	Latitude	Mean Vel (mm/yr)	Stand Dev  V (mm/yr)
-123.4874701	48.38978142	0.854595601	0.085254357
-122.1418596	48.17406709	-1.617595678	0.134579033
-122.4789725	48.75526861	0.450060448	0.757442596
-122.9275402	48.01605761	-1.22228467	0.960055148
-122.1323005	47.55424342	0.127381049	1.731541873
-123.3672708	46.19730267	-0.848355557	0.12423159
-122.7758671	48.01061775	-1.090583282	0.417661514
-121.7493013	48.53870643	-0.987203749	0.410623979
-122.6856048	48.21731105	-0.858421565	2.631743825
-122.256519	46.84008522	-0.961656743	0.361337882
-122.2565189	46.84008523	-1.074590229	0.604872795
-122.9125427	46.27459985	-1.414511604	1.147450458
-123.219924	47.42334409	-0.100621269	0.75590422
-122.7605843	47.49760436	0.923336757	1.111477778
-121.955584	47.20620711	-3.586709707	4.079992733
-123.9560947	46.2048876	2.21943472	0.322738927
-123.9560115	46.20516319	1.747	0.5568
-123.9560946	46.20488754	1.633	0.3598
-123.9560121	46.20516276	1.564	0.3988
-123.0225976	46.79548602	0.620466397	4.220492946
-122.2176159	46.27512451	-1.336581079	1.849780665
-122.8960691	46.11817748	-0.788505448	0.373375853
-122.7954179	47.54731961	-0.525067164	0.320611533
-121.8308528	47.94437963	-1.354369643	0.181801714
-122.7583155	47.21878571	-0.266486582	0.318323328
-121.6895648	47.69520107	-1.41446071	1.283965632
-121.7420393	46.78534517	-1.024693597	0.0232426
-121.7331598	46.83563318	-3.444937358	0.830687833
-124.6249069	48.29785489	2.904801874	0.10512992
-121.7970846	47.49509774	-0.965040793	0.148746982
-122.204756	47.47461072	-2.267715608	0.99174862
-123.4877051	47.96984629	1.117697964	0.285693466
-123.7991608	46.42161904	0.72553665	0.474818473
-123.9161448	46.92578475	1.050897536	0.037581565
-123.8124508	47.51334846	2.231246688	0.682959768
-124.5570196	47.93718774	1.216291178	0.306206131
-124.3058975	47.76622121	2.035586029	0.099062688
-124.1408752	48.06232187	2.480540601	0.443056544
-123.3765865	46.2005018	-0.473373735	0.582664894
-123.0786056	46.11114155	-0.95970495	0.051231018
-123.7298657	46.6559908	0.294125749	0.48886712
-121.5969285	47.03994201	-0.78067257	0.065876113
-123.2979298	46.57473787	-0.712307262	0.393162876
-123.4078134	47.23664512	0.233017047	0.470317034
-122.8663315	46.58860218	-0.628525663	0.311999621
-122.4292291	46.53185605	-0.549749087	0.743833967
-122.9412101	47.28790356	-0.339376172	0.299733696
-122.8747126	47.82318379	0.634720735	0.368286955
-122.8453991	46.45269382	-1.086330651	0.041547497
-122.5145853	47.80272473	-2.022063837	0.333506783
-123.4362223	47.00384415	-0.225773648	0.358475228
-121.9884529	46.57208157	-1.081706297	0.244202721
-121.6832296	46.62285587	-1.15781578	0.317694931
-123.5032787	48.05954905	0.516792951	0.570629145
-123.1343481	48.04530254	0.470026517	0.406245965
-122.4591576	48.00180944	-0.635239002	0.482283623
-122.6702629	48.41914795	-0.476086841	0.367956153
-122.9093034	48.70819255	0.242581837	0.247653682
-122.4933411	48.85619342	-0.086166947	0.533550627
-121.6155496	48.26048008	-0.175370712	0.556923851
-122.8927878	46.11566223	-0.745075656	0.677153035
-122.354639	46.10957228	-0.878623873	1.093203783
-122.3606199	46.18955347	-1.011671328	0.636235212
-122.1898692	46.17998897	-1.09745239	0.10412383
-122.2269646	46.23148369	0.606117474	0.428942452
-122.184208	46.22449854	-0.205599325	0.393474139
-122.202348	46.21032171	-1.881621358	0.028281634
-122.1819311	46.29962944	-0.06445989	0.478323238
-122.1642134	46.19898747	-1.34497903	0.243901021
-122.1516359	46.19688115	-1.235152643	0.192012119
-122.1766091	46.18764259	-3.947388535	0.087544912
-122.1606114	46.17346582	-0.835151911	0.040500311
-122.2173656	46.17813498	-0.282581681	0.234851849
-122.133352	46.19462474	-0.016076696	0.345509901
-122.3456477	46.30016146	-0.905715209	0.255178799
-122.1961914	46.14525826	-0.095324832	0.447571958
-122.3105938	46.17295852	-0.677706389	0.14409785
-124.204582	47.2127995	-0.001685239	0.182630412
-122.5708059	47.17205673	-0.05532281	0.782450583
-122.2821825	47.89850693	-0.849772668	1.455623132
-123.4511285	48.64853292	0.936920771	0.667549456
-122.609461	47.3913624	-0.936654323	0.214496842
-124.413059	48.54426836	1.057169572	2.241868828
-122.0080805	47.4995593	0.171161713	0.800353968
-122.3747665	47.3875063	-1.072615557	0.503435823
-122.3750056	47.38720465	-0.671	0.5658
-122.3747668	47.38750628	-1.186	0.3708
-122.3750072	47.38720387	-1.184	0.3638
-123.7304121	46.68412976	-0.066302429	0.091598612
-123.0076105	48.54619475	0.194482723	0.273827771
-123.7057379	47.81658701	2.217013553	0.710495828
-123.7041294	48.92316391	1.264762087	0.291762571
-122.3372037	48.41785325	0.003	0.5908
-122.3094759	47.65397696	-1.136293507	0.398085672
-122.2238478	48.52155781	-0.61986313	0.339924937
-122.3450581	47.52357195	-1.160615927	0.985934644
-121.6436016	46.91461395	-2.754862643	1.459176562
-122.3151649	47.68229982	-0.896236898	0.143075986
-122.4715077	47.22886722	-1.677604771	0.078573706
-122.1923314	46.21919474	-2.233	0.4438
-122.192331	46.21919508	-3.294945909	0.845737762
-122.1740349	46.27525135	-1.787005225	0.262598245
-122.2884655	47.10584073	-0.916081594	0.141056216
-123.7683637	46.20737276	0.510304165	0.372979912
-122.2240643	46.23686758	-4.323651803	1.676036045
-122.9121615	46.98430075	-2.485034916	1.277034847
-122.9228756	47.01590546	-0.093839815	0.271768973
-122.1587324	46.21291555	1.146542863	0.45236386
-122.2119244	46.1979019	-2.178228173	1.658708421
-122.5691744	47.80348019	-1.929	0.3598
-121.8261528	47.52664702	-4.405	0.5768
-122.6961432	48.31271606	-0.700940209	1.007236111
-122.6961426	48.31244322	-1.701	0.7078
-122.6961437	48.31271574	-0.011	0.3868
-122.6961442	48.31244231	-0.562	0.4138
-122.605735	46.94871694	-0.717807333	0.363308266
-122.1883721	47.28699366	-1.221234816	0.221544232
-123.4287087	48.42926327	-3.006043421	3.24558477
-122.191481	47.61419132	-2.171254817	4.021910234
-123.4509944	48.64849709	-2.77715283	3.428640574
-123.7995296	48.55948687	-2.045411854	3.744611239
-123.3915678	48.48071087	1.396	6.4018
-122.125499	47.61742173	-1.526463835	0.662778257
-124.2525266	47.53934449	1.313180908	3.175816994
-122.1832148	47.59920679	0.94075702	0.68921698
-122.4786328	48.21534758	2.617392357	0.423663028
-124.1308848	48.82030426	2.222487051	1.417721586
-122.2607742	46.05921638	0.72430648	2.135448337
-121.7324322	46.8707267	-3.120403671	1.023890619
-121.7324222	46.87071876	0.453326481	0.851734778
-122.2358013	47.38057151	-0.318736896	46.72399307
-122.4800342	48.7527378	-0.72484498	0.752248478
-123.9261436	47.46883643	2.862928641	2.687903794
-122.0801559	47.77410395	-1.512131509	0.914563975
-121.9598951	47.00769551	-1.936802026	0.426074262
-123.0181131	48.53522396	-0.318409917	0.065994276
-122.1272863	48.19466785	-1.576442994	0.162486067
-121.7880839	47.29080063	3.669509505	6.095840281
-122.9210566	47.01929383	0.208710549	1.599319976
-124.03943	46.30588149	-2.656803193	1.961365719
-122.3209899	47.8028758	-0.081285546	0.806646203
-124.0538462	46.27813294	1.105463791	6.344197033
-124.589224	48.37067433	3.942876597	36.81824436
-123.6035568	46.98285469	3.221	1.2388
-121.8153656	46.89979785	-0.12646131	0.509736923
-124.1597144	46.9523712	-0.358369422	7.25391452
-122.9084656	46.96119522	-0.971478693	2.2137392
-122.8952187	47.04484692	-3.059909442	0.567962309
-122.3365715	48.41784046	-1.573452664	0.373161462
-123.612961	47.43391966	1.829120703	0.687290925
-123.3665265	47.40929853	0.562851199	0.28969674
-122.1396421	48.9159787	0.792284291	0.884552301
-122.1641609	46.03012144	-1.278108019	0.88823204
-122.2032256	46.18978396	-2.548004842	1.713781665
-122.136902	46.24463069	0.26510039	0.776458167
-124.5571527	47.93718751	1.039747386	0.612355911
-124.5570878	47.93711018	0.775509888	0.621626483
-122.208139	47.98166377	-1.428974891	0.715634489
-121.676981	46.59979766	-1.136031108	2.854561791
-123.4152578	48.1014605	-0.400882281	0.629466457
-121.6426316	46.85907924	-39.4180515	41.54326586
-121.6426117	46.85895232	-19.69286351	1.875197686
-122.3202071	47.4513887	-2.334012167	0.519087088
-123.4943611	48.11682935	0.090967424	0.162945687
-122.033173	47.53986314	4.582959917	5.862594039
-123.5412274	46.96565412	3.137587734	0.703999649
-122.2563023	47.68700503	-1.660936108	1.866266058
-122.256301	47.68700542	-1.572453741	1.227680876
