lon lat ve vn vu se sn su name
115.34700 -29.04656 -0.12033 -0.68638 0.28929 0.27709 0.28695 0.38321 yar3
115.89481 -32.00412 -0.50142 -0.87584 -1.15906 0.26636 0.44961 0.39780 cut0
210.39365 -17.57702 -83.99922 26.73091 -0.54547 0.48423 0.38156 1.22578 thtg
170.51092 -45.86949 -29.23128 -12.73051 -0.17110 0.30359 0.29126 0.38238 ousd
148.98000 -35.39920 -0.00062 -0.34515 -0.08725 0.22381 0.19014 0.59110 tidb
174.77002 -36.84364 0.48921 -1.16566 -0.28962 0.47043 0.30274 0.49749 takl
170.59716 -45.88365 -29.72112 -12.87257 -0.93511 0.48863 0.41360 0.50294 dund
175.58436 -41.06209 -26.67196 -10.95768 -2.55327 0.77161 0.54695 0.92929 mast
149.01011 -35.31583 -0.00032 -0.20619 -0.71476 0.32957 0.60164 0.47699 str2
138.64735 -34.72900 0.09510 -0.15366 -1.02308 0.29058 0.30309 0.57411 ade2
174.83439 -36.60284 0.42497 -1.31546 -0.21618 0.21586 0.21627 0.41795 auck
174.80589 -41.32346 -24.07258 -7.59707 -1.78552 0.51118 0.35331 0.44617 wgtn
172.65470 -43.70273 -32.51640 -11.06909 -0.97484 0.37488 0.46470 0.52265 mqzg
169.30824 -45.23101 -29.14270 -13.01243 0.24291 0.59789 0.48022 0.54448 lexa
174.11818 -39.18255 -1.69701 -1.21875 -0.75368 0.30364 0.27582 0.58971 nply
174.66278 -36.43441 0.33674 -1.17143 -0.51866 0.35475 0.35424 0.47825 wark
171.80621 -41.74475 -3.07856 -0.68631 -0.74311 0.37196 0.34135 0.56584 west
176.26088 -37.72881 1.05566 -1.73710 0.49267 0.59039 0.28259 0.62070 trng
151.15038 -33.78087 0.01093 -0.44740 -0.52769 0.36740 0.28377 0.47126 sydn
174.85409 -38.51300 -1.01396 -0.80294 -0.87447 0.40506 0.26820 0.66223 maho
172.26632 -42.78337 -22.33733 -9.54094 1.65483 0.44586 0.49838 0.55190 lkta
170.98431 -42.71290 -3.99181 -0.59422 -0.71131 0.43599 0.58446 0.66042 hoki
175.10920 -37.80675 -0.85483 -0.96968 0.10524 0.30079 0.25334 0.54558 hamt
170.62940 -45.81431 -29.70251 -12.61196 -0.38719 0.36193 0.31076 0.38063 dunt
131.13274 -12.84371 -0.03921 -0.28939 -0.00505 0.31141 0.37775 0.83582 darw
183.43386 -43.95580 -33.78879 -0.40063 0.35862 0.58827 0.53233 0.75488 chat
174.78159 -41.29043 -21.98271 -6.00760 -2.15753 0.39511 0.46532 0.62430 wgtt
174.31457 -35.80377 0.24236 -0.90659 -0.49523 0.27611 0.26906 0.55365 whng
173.27311 -35.06892 0.04789 -0.97397 -0.43905 0.32614 0.32784 0.62774 ktia
177.01388 -37.98168 3.16960 -13.06508 -0.31947 0.45156 0.63023 0.65429 whkt
